timestamp,ES,GE,RZ1,RZ2
2022-11-09,1.238,0.47400000000000003,0.8079999999999999,0.502
2022-11-10,0.017,0.011,0.020999999999999998,0.019999999999999997
2022-11-11,0.0,0.0,0.0,0.0
2022-11-12,0.375,0.39,0.24300000000000002,0.247
2022-11-13,0.156,0.158,0.135,0.161
2022-11-14,0.066,0.20800000000000002,0.077,0.056999999999999995
2022-11-15,4.274,6.36,4.444,4.586
2022-11-16,9.363,10.491,9.633,10.575
2022-11-17,9.5,10.075000000000001,8.966,10.806
2022-11-18,2.9789999999999996,3.325,2.6,1.599
2022-11-19,2.72,0.795,1.8679999999999999,3.4939999999999998
2022-11-20,5.321000000000001,7.412999999999999,5.107,4.793
2022-11-21,4.67,5.395,4.215,4.111
2022-11-22,0.887,0.868,0.728,0.8079999999999999
2022-11-23,4.4030000000000005,3.586,3.83,3.885
2022-11-24,0.445,0.657,0.964,0.6469999999999999
2022-11-25,1.224,1.045,1.128,1.1460000000000001
2022-11-26,0.075,0.11399999999999999,0.07999999999999999,0.063
2022-11-27,5.529,6.019,5.768,5.598
2022-11-28,3.39,3.984,3.47,3.429
2022-11-29,0.396,0.341,0.308,0.286
2022-11-30,0.9,0.982,0.777,0.684
2022-12-01,0.982,0.29400000000000004,0.249,0.35700000000000004
2022-12-02,0.611,0.59,0.533,0.5589999999999999
2022-12-03,0.134,0.14,0.11900000000000001,0.132
2022-12-04,0.519,0.377,0.38,0.443
2022-12-05,5.668,4.521,4.589,5.152
2022-12-06,0.6970000000000001,0.619,0.349,1.086
2022-12-07,1.0939999999999999,0.716,0.513,1.214
2022-12-08,2.636,5.23,3.5829999999999997,2.315
2022-12-09,0.132,0.216,0.077,0.11
2022-12-10,0.008,0.007,0.004,0.013000000000000001
2022-12-11,0.637,0.026000000000000002,0.047,0.187
2022-12-12,0.099,0.159,0.134,0.129
2022-12-13,0.232,0.197,0.299,0.243
2022-12-14,0.453,0.476,0.477,0.437
2022-12-15,0.035,0.028,0.019,0.027
2022-12-16,0.71,0.432,0.745,0.457
2022-12-17,0.025,0.056,0.022,0.024999999999999998
2022-12-18,3.261,3.077,3.621,4.009
2022-12-19,3.947,3.878,3.366,3.614
2022-12-20,13.982999999999999,16.12,14.847,17.034
2022-12-21,3.0709999999999997,2.945,3.07,2.588
2022-12-22,8.555,9.688,9.642,9.324
2022-12-23,11.352,10.554,13.261,9.985
2022-12-24,0.619,0.036,0.07,0.417
2022-12-25,15.998000000000001,11.15,12.844,13.772
2022-12-26,1.317,0.993,0.8420000000000001,0.729
2022-12-27,0.185,0.165,0.232,0.445
2022-12-28,3.433,4.601,4.022,3.3970000000000002
2022-12-29,6.016,3.616,3.032,4.787
2022-12-30,4.71,5.024,4.539,4.997
2022-12-31,4.243,6.435,3.6189999999999998,4.545
