#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	H2O_sew2
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
181.26041666666666	-41283404159.5459	-1786996.6317674415	-288356.27467156434	-8359653.34193937	-7790050.850854584	-13483330.337324943	41283405136.1748
181.26388888888889	-40219356822.96753	-1744463.2463041935	-281492.9329263584	-8120667.349531163	-7585427.096152564	-13140783.915273711	40219358083.575806
181.26736111111111	-39244749355.31616	-1704664.1168013683	-275070.80066567526	-7899516.381692215	-7398148.71492839	-12829987.081922283	39244748654.39423
181.27083333333334	-38357372474.67041	-1667637.0026059211	-269095.9708750463	-7695821.44546149	-7227748.378849243	-12549904.290867504	38357372961.52047
181.27430555555554	-37548860263.82446	-1633137.2603386838	-263528.96700919664	-7508013.186582193	-7072607.618604472	-12297487.831115538	37548860598.17072
181.27777777777777	-36763102626.80054	-1598837.1278791134	-257994.17290776595	-7324862.800536233	-6922107.997818312	-12054130.097114356	36763103399.05581
181.28125	-36051204013.82446	-1567056.3661123018	-252865.91362266685	-7156601.71279174	-6785834.13221766	-11836356.344028275	36051204498.20354
181.28472222222223	-35432705497.7417	-1538730.9583545846	-248295.22282539887	-7007121.002309669	-6667427.689638288	-11650393.977052532	35432705368.32618
181.28819444444446	-34896710014.34326	-1513463.418185196	-244217.9606617021	-6874238.318413932	-6564802.46144529	-11492515.024126677	34896708999.17012
181.29166666666666	-34436581993.10303	-1482563.74794587	-239231.8775094472	-6788336.209487818	-6480680.227836661	-11332692.683678612	34436582894.30053
181.29513888888889	-34047516632.08008	-1455465.6804660235	-234859.23480247203	-6712530.558496291	-6409614.887966692	-11200626.657509364	34047516045.73703
181.29861111111111	-33723908329.01001	-1431831.0068497702	-231045.45792348564	-6646220.008717314	-6350593.299078519	-11093911.24900324	33723907342.41285
181.30208333333334	-33458845996.85669	-1411273.9444435055	-227728.29558065656	-6588481.6164770685	-6302351.613831919	-11009780.3134563	33458847201.64032
181.30555555555554	-33245833110.809326	-1393435.2784341238	-224849.78356550637	-6538413.886717799	-6263698.495446221	-10945667.362108056	33245834269.792133
181.30902777777777	-33081305980.682373	-1378089.6219898665	-222373.5526392739	-6495641.607864578	-6233991.813636471	-10900031.111559412	33081305289.389057
181.3125	-32965354728.69873	-1365171.923797138	-220289.1058854473	-6460461.020327954	-6213275.254598088	-10872587.814254548	32965355405.32352
181.31597222222223	-32900574874.87793	-1354724.095352966	-218603.20629559224	-6433610.195575909	-6202060.302531871	-10863928.453286637	32900576161.72193
181.31944444444446	-32888148307.800293	-1346732.188088103	-217313.60307785304	-6415505.200813549	-6200590.271771274	-10874228.242713723	32888149202.46792
181.32291666666666	-32926578998.565674	-1341084.330291304	-216402.24420609683	-6406019.139638833	-6208600.585522293	-10902803.010239394	32926579606.21356
181.32638888888889	-33013212203.979492	-1337624.1364420576	-215843.89474405936	-6404767.54173698	-6225605.864076509	-10948618.637182146	33013211507.421185
181.32986111111111	-33144461059.570312	-1336144.2632206022	-215605.0970196881	-6411111.310727496	-6250945.432203838	-11010408.68984972	33144461581.96904
181.33333333333334	-33316223716.73584	-1342691.527762981	-216661.58743448104	-6409615.149111522	-6287753.900280728	-11105328.254112478	33316224052.61576
181.33680555555554	-33526589584.350586	-1350151.8592347156	-217865.4136492382	-6416312.247073879	-6331350.589064216	-11211994.730086356	33526588762.75495
181.34027777777777	-33775790405.273438	-1358603.5625723093	-219229.211233259	-6431022.111871935	-6381852.4337438345	-11330764.044817396	33775791345.06165
181.34375	-34064956569.67163	-1368149.0068382188	-220769.49883071255	-6453760.073536789	-6439533.6106616	-11462256.168347772	34064956434.84561
181.34722222222223	-34395445060.72998	-1378890.0936058671	-222502.7196500376	-6484604.267202456	-6504704.395042895	-11607146.357663622	34395444740.173454
181.35069444444446	-34766738319.39697	-1390844.2200021904	-224431.6809548989	-6523285.55321536	-6577313.226948607	-11765464.353301588	34766738390.04421
181.35416666666666	-35176364421.84448	-1403942.7318928405	-226545.30446452656	-6569177.748352571	-6656932.713297812	-11936564.571368683	35176365271.66241
181.35763888888889	-35620170021.05713	-1418043.987046638	-228820.7342734348	-6621359.008463678	-6742810.623795058	-12119206.614916695	35620168832.17999
181.36111111111111	-36092346096.03882	-1432936.634405349	-231223.8660063177	-6678622.669346875	-6833877.865885134	-12311565.399691796	36092347146.14492
181.36458333333334	-36586972904.20532	-1448401.3654555562	-233719.3112439647	-6739760.230302999	-6929037.05943573	-12511748.763030935	36586973649.11676
181.36805555555554	-37100494480.13306	-1464310.7206411231	-236286.5026489085	-6804020.882828479	-7027635.9683286585	-12718651.972661655	37100493556.38069
181.37152777777777	-37631316947.93701	-1480612.4762461327	-238917.01321244412	-6871026.946483222	-7129391.365083492	-12931828.741050445	37631316698.030304
181.375	-38178943347.93091	-1494307.5402673509	-241126.89854314065	-6905644.957129712	-7246099.758677592	-13212537.797799025	38178944235.71095
181.37847222222223	-38740767860.4126	-1508553.9555335485	-243425.75191564072	-6945427.60242325	-7364390.414796869	-13493232.901790772	38740766648.90646
181.38194444444446	-39314540004.730225	-1523234.3661694687	-245794.63635916423	-6989512.672559557	-7483975.482336607	-13773882.898247344	39314539174.64077
181.38541666666666	-39867182350.15869	-1537046.419035041	-248023.3994351998	-7031663.742215537	-7598670.118187668	-14043489.022154473	39867183574.869736
181.38888888888889	-40424057865.14282	-1550956.9162507833	-250268.0478495582	-7076098.107198259	-7713395.399004823	-14311423.025432192	40424057070.32409
181.39236111111111	-41004264736.17554	-1565677.2458479807	-252643.37376183327	-7125850.202213223	-7831887.912355797	-14584949.603063526	41004266002.04643
181.39583333333334	-41591338920.59326	-1580554.787989546	-255044.06806194948	-7177757.214692526	-7951084.565144617	-14858684.20257337	41591339200.10584
181.39930555555554	-42175354099.27368	-1595198.576917544	-257407.0430935128	-7229892.496119243	-8069153.471854945	-15129432.539949868	42175355140.36977
181.40277777777777	-42748899650.57373	-1609321.2955634475	-259685.93632955628	-7280831.328253484	-8184728.389336531	-15394798.146782285	42748899295.34655
181.40625	-43307652282.71484	-1622758.9607581836	-261854.286849616	-7329730.022406255	-8297026.022358373	-15653425.345122524	43307654255.99319
181.40972222222223	-43639662551.87988	-1627607.8349091464	-262636.71881488507	-7340852.779687593	-8365452.636677363	-15828593.868488245	43639661102.844444
181.41319444444446	-44043281364.44092	-1635059.694041363	-263839.177902129	-7364676.274920975	-8447200.359706962	-16028230.768619085	44043279552.94079
181.41666666666666	-44541255569.45801	-1638498.2316104977	-264394.0328280576	-7397718.478530664	-8567546.953155564	-16319379.354044868	44541255610.94452
