#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD
#d	g/d	g/d	g/d	g/d	g/d	g/d	
198.04861111111111	-57283198928.83301	-2274571.8135758205	-367033.179008826	-8167780.603294974	-26546992.30841399	-36177490.91655215	0.0403183731127776
198.05208333333334	-57283198928.83301	-2275884.381976684	-367244.9798189653	-8172493.917098073	-26475977.88860003	-36095048.99459455	0.039526295865184
198.05555555555554	-57283198928.83301	-2277204.1896571056	-367457.9487855788	-8177233.226495951	-26404571.799112037	-36012152.376241714	0.0387342186175904
198.05902777777777	-57283198928.83301	-2278531.3614648813	-367672.1060545608	-8181998.979805691	-26332767.285259143	-35928793.21985108	0.0379421413699969
198.0625	-57283198928.83301	-2279866.025900023	-367887.4723611404	-8186791.638459154	-26260557.39475317	-35844963.454385765	0.0371500641224033
198.06597222222223	-57283198928.83301	-2281208.315266501	-368104.0690543675	-8191611.67754787	-26187934.96949884	-35760654.76988376	0.0363579868748097
198.06944444444446	-57283198928.83301	-2282558.3658321984	-368321.9181229232	-8196459.58639742	-26114892.63693968	-35675858.607411146	0.0355659096272161
198.07291666666666	-57283198928.83301	-2283916.3179976344	-368541.0422223457	-8201335.869173304	-26041422.80092952	-35590566.148464724	0.0347738323796225
198.07638888888889	-57283198928.83301	-2285282.316474047	-368761.4647037668	-8206241.045520421	-25967517.632097628	-35504768.30378666	0.0339817551320289
198.07986111111111	-57283198928.83301	-2286656.510471481	-368983.20964426186	-8211175.651238478	-25893169.057672564	-35418455.70155084	0.0331896778844353
198.08333333333334	-57283198928.83301	-2287872.004433056	-369179.34616987966	-8215540.379555042	-25815464.36799173	-35325999.738343395	0.0323976006368417
198.08680555555554	-57283198928.83301	-2289094.978607672	-369376.6897298744	-8219931.968636618	-25737281.47961029	-35232974.79633104	0.0316055233892482
198.09027777777777	-57283198928.83301	-2290325.5771319624	-369575.2635826577	-8224350.936064752	-25658611.178091265	-35139369.91183002	0.0308134461416546
198.09375	-57283198928.83301	-2291563.948860224	-369775.09174789983	-8228797.81636169	-25579443.9474048	-35045173.76230998	0.030021368894061
198.09722222222223	-57283198928.83301	-2292810.2475840286	-369976.1990419684	-8233273.161778991	-25499769.955888294	-34950374.649688885	0.0292292916464674
198.10069444444446	-57283198928.83301	-2294064.63226519	-370178.6111155194	-8237777.543134067	-25419579.04135372	-34854960.48261307	0.0284372143988738
198.10416666666666	-57283198928.83301	-2295327.26728306	-370382.354493403	-8242311.550698237	-25338860.695277706	-34758918.7576461	0.0276451371512802
