ES_threshold,RZ_threshold,certainty_threshold,ES_flow,ES_FD,ES_flow_sum,ES_FD_sum,ES_flow_always,ES_flow_always_sum,ES_cso,RZ_flow,RZ_FD,RZ_flow_sum,RZ_FD_sum,RZ_cso,RZ_flow_always,RZ_flow_always_sum
,3.0,0.725,,,,,,,,0.074,1.067,550.976,6.401,309.56,1.426,12322.293
,3.0,0.75,,,,,,,,0.074,1.049,551.036,6.295,309.509,1.426,12315.94
,3.0,0.775,,,,,,,,0.074,1.034,551.233,6.206,309.561,1.424,12302.641
,3.0,0.8,,,,,,,,0.075,0.984,558.084,5.906,309.561,1.421,12279.749
,3.0,0.825,,,,,,,,0.049,1.423,359.465,9.959,309.489,1.477,12757.496
,3.0,0.85,,,,,,,,0.036,0.982,260.408,7.852,309.543,1.502,12973.007
,3.0,0.875,,,,,,,,0.032,0.892,233.485,6.241,309.553,1.502,12978.549
,3.0,0.9,,,,,,,,0.031,0.946,225.063,5.673,309.55,1.506,13008.174
,3.0,0.925,,,,,,,,0.026,0.593,189.891,3.557,309.55,1.504,12997.11
,3.5,0.725,,,,,,,,0.074,1.065,551.029,6.392,309.561,1.427,12323.953
,3.5,0.75,,,,,,,,0.074,1.065,551.029,6.392,309.561,1.427,12323.953
,3.5,0.775,,,,,,,,0.074,1.067,550.915,6.403,309.531,1.427,12323.749
,3.5,0.8,,,,,,,,0.075,1.034,552.117,6.206,309.562,1.424,12303.56
,3.5,0.825,,,,,,,,0.076,0.984,560.578,5.906,309.565,1.421,12272.872
,3.5,0.85,,,,,,,,0.05,1.409,366.733,9.866,309.547,1.476,12751.422
,3.5,0.875,,,,,,,,0.036,0.982,260.408,7.852,309.543,1.502,12973.007
,3.5,0.9,,,,,,,,0.03,0.947,215.833,5.679,309.548,1.505,12998.298
,3.5,0.925,,,,,,,,0.031,0.946,225.531,5.679,309.545,1.506,13008.388
,4.0,0.725,,,,,,,,0.074,1.085,548.657,6.508,309.531,1.43,12349.986
,4.0,0.75,,,,,,,,0.075,1.058,551.701,6.35,309.558,1.426,12321.236
,4.0,0.775,,,,,,,,0.074,1.066,550.967,6.399,309.509,1.427,12324.204
,4.0,0.8,,,,,,,,0.074,1.067,550.915,6.403,309.531,1.427,12323.749
,4.0,0.825,,,,,,,,0.075,1.034,555.551,6.203,309.541,1.425,12306.771
,4.0,0.85,,,,,,,,0.076,0.984,560.476,5.901,309.56,1.421,12272.512
,4.0,0.875,,,,,,,,0.036,1.042,259.226,8.339,309.546,1.503,12983.332
,4.0,0.9,,,,,,,,0.032,0.892,233.375,6.245,309.538,1.502,12975.504
,4.0,0.925,,,,,,,,0.031,0.945,225.096,5.669,309.549,1.506,13010.54
,4.5,0.725,,,,,,,,0.074,1.079,547.903,6.476,309.511,1.429,12348.523
,4.5,0.75,,,,,,,,0.074,1.085,548.657,6.508,309.531,1.43,12349.986
,4.5,0.775,,,,,,,,0.075,1.058,551.701,6.35,309.558,1.426,12321.236
,4.5,0.8,,,,,,,,0.074,1.066,550.967,6.399,309.509,1.427,12324.204
,4.5,0.825,,,,,,,,0.074,1.058,550.873,6.349,309.554,1.427,12323.828
,4.5,0.85,,,,,,,,0.076,0.984,560.578,5.906,309.565,1.421,12272.872
,4.5,0.875,,,,,,,,0.078,1.022,575.745,5.109,309.538,1.415,12226.23
,4.5,0.9,,,,,,,,0.036,0.982,260.408,7.852,309.543,1.502,12973.007
,4.5,0.925,,,,,,,,0.033,0.892,240.115,6.242,309.548,1.503,12984.07
