;scenario;group;pollutant;metric;value
279;ENSEMBLE;pollutants;X_TSS_sew;avg_concentration;246.19612537891817
280;ENSEMBLE;pollutants;X_TSS_sew;avg_max_daily_concentration;282.24026095080836
281;ENSEMBLE;pollutants;COD_part;avg_daily_load;286374.7911099028
282;ENSEMBLE;pollutants;COD_part;avg_max_daily_load;369032.3875405729
283;ENSEMBLE;pollutants;COD_part;avg_concentration;368.7453653888416
284;ENSEMBLE;pollutants;COD_part;avg_max_daily_concentration;423.170795314156
285;ENSEMBLE;pollutants_effluent;.effluent.y_BOD;avg_daily_load;4567.361264236883
286;ENSEMBLE;pollutants_effluent;.effluent.y_BOD;avg_max_daily_load;9731.121990793386
287;ENSEMBLE;pollutants_effluent;.effluent.y_BOD;avg_concentration;1.8006990900382494
288;ENSEMBLE;pollutants_effluent;.effluent.y_BOD;avg_max_daily_concentration;2.467439295108696
289;ENSEMBLE;pollutants_effluent;.effluent.y_COD;avg_daily_load;53914.774874455645
290;ENSEMBLE;pollutants_effluent;.effluent.y_COD;avg_max_daily_load;90842.73006202425
291;ENSEMBLE;pollutants_effluent;.effluent.y_COD;avg_concentration;31.23387100530026
292;ENSEMBLE;pollutants_effluent;.effluent.y_COD;avg_max_daily_concentration;33.62428188586957
293;ENSEMBLE;pollutants_effluent;.effluent.y_DO;avg_daily_load;6599.410250142347
294;ENSEMBLE;pollutants_effluent;.effluent.y_DO;avg_max_daily_load;8826.40241762616
295;ENSEMBLE;pollutants_effluent;.effluent.y_DO;avg_concentration;4.353981952936998
296;ENSEMBLE;pollutants_effluent;.effluent.y_DO;avg_max_daily_concentration;5.0349941945652175
297;ENSEMBLE;pollutants_effluent;.effluent.y_NH;avg_daily_load;3513.192997730307
298;ENSEMBLE;pollutants_effluent;.effluent.y_NH;avg_max_daily_load;8186.791117724359
299;ENSEMBLE;pollutants_effluent;.effluent.y_NH;avg_concentration;1.597108703596459
300;ENSEMBLE;pollutants_effluent;.effluent.y_NH;avg_max_daily_concentration;2.274047489130435
