location,rain_threshold,certainty_threshold,OF_1_outflow,OF_1_FD,OF_1_outflow_2,OF_2_cso,OF_3_margin_025,OF_3_margin_05,OF_3_margin_10,OF_3_margin_15,OF_4_COD_part,OF_4_COD_sol,OF_4_X_TSS_sew,OF_4_NH4_sew,OF_4_PO4_sew
RZ,2.0,0.825,0.054,0.884,0.012,309.558,5240,5464,5816,6971,23331192348301.67,6919453005720.345,7375272172949.291,312943970499.576,8148504934.341
RZ,2.0,0.85,0.054,0.878,0.012,309.553,5148,5371,5748,6970,24197978861740.5,7080210177875.527,7613909973796.396,320146309634.15,8336041047.86
RZ,2.0,0.875,0.044,0.55,0.012,309.55,5132,5363,5744,7049,24756212157189.27,7210340486622.558,7795098420704.304,326052791421.054,8489835338.603
RZ,2.0,0.8,0.057,0.878,0.013,309.557,5274,5490,5835,6968,22783147662164.598,6780195976409.516,7206246050762.125,306731175375.367,7986734788.57
RZ,2.0,0.925,0.044,0.557,0.013,309.55,4944,5209,5653,7050,25702924045781.86,7400787156578.107,8065259407675.179,334759197175.108,8716534674.379
RZ,2.0,0.9,0.044,0.551,0.012,309.557,5116,5352,5753,7047,24686956771514.336,7198230553067.494,7773639680493.521,325507323356.792,8475632319.43
RZ,3.5,0.725,0.104,1.065,0.034,309.561,5209,5437,5723,6885,18103626073457.555,5475020307822.563,5836485718490.906,249478989307.127,6495989592.444
RZ,3.5,0.75,0.104,1.065,0.034,309.561,5209,5437,5723,6885,18103626073457.555,5475020307822.563,5836485718490.906,249478989307.127,6495989592.444
RZ,3.5,0.775,0.104,1.067,0.034,309.531,5201,5437,5724,6886,18126544901100.43,5481616156371.871,5843524203106.33,249774555204.863,6503685603.242
RZ,3.5,0.825,0.104,0.984,0.031,309.565,5167,5366,5640,6886,18224230416512.62,5494535077356.902,5863227962278.197,250306649716.32,6517540398.863
RZ,3.5,0.85,0.079,1.409,0.016,309.547,5229,5414,5752,6993,19505978677892.367,5874701920425.921,6180396257778.059,266709906566.428,6944652060.957
RZ,3.5,0.875,0.062,0.924,0.016,309.543,5239,5446,5804,6967,23333288333355.42,6913390618735.963,7381385394431.567,312867697125.438,8146518911.205
RZ,3.5,0.8,0.104,1.034,0.033,309.562,5117,5350,5663,6893,18259515152933.78,5511123489490.802,5881476034560.184,251114013441.936,6538562715.707
RZ,3.5,0.925,0.054,0.878,0.012,309.545,5110,5346,5728,6971,24184630701170.832,7075813082142.123,7608237148543.038,319934006124.15,8330513041.693
RZ,3.5,0.9,0.054,0.885,0.012,309.548,5256,5474,5804,6978,23495721389714.766,6958977546347.522,7429248359607.117,314806794468.665,8197009560.519
RZ,3.0,0.725,0.104,1.067,0.034,309.56,5218,5442,5724,6885,18123870863060.41,5480449540229.259,5842904391299.548,249727194545.743,6502452415.832
RZ,3.0,0.75,0.104,1.049,0.034,309.509,5205,5427,5704,6886,18161495373285.49,5489215392679.88,5853539058176.343,250115810170.879,6512571276.195
RZ,3.0,0.775,0.104,1.034,0.033,309.561,5129,5363,5675,6893,18182334627475.05,5491596955567.352,5858317171723.556,250227718576.902,6515485172.243
RZ,3.0,0.825,0.079,1.423,0.015,309.489,5282,5472,5798,6994,19058433150475.457,5751617448797.88,6044403360880.301,261103243747.936,6798664523.416
RZ,3.0,0.85,0.062,0.924,0.016,309.543,5239,5446,5804,6967,23333288333355.42,6913390618735.963,7381385394431.567,312867697125.438,8146518911.205
RZ,3.0,0.875,0.057,0.877,0.013,309.553,5247,5462,5800,6965,23240793362529.117,6904416545018.2,7342272229286.202,312456728265.411,8135818012.324
RZ,3.0,0.8,0.104,0.984,0.031,309.561,5191,5391,5665,6884,18120149778056.008,5467390279259.834,5833904977058.808,249106983934.354,6486303233.539
RZ,3.0,0.925,0.044,0.551,0.012,309.55,5115,5354,5741,7048,24681527365836.79,7196576280013.753,7772767735510.532,325446513935.299,8474048950.144
RZ,3.0,0.9,0.054,0.877,0.012,309.55,5136,5359,5736,6970,24218996418727.33,7086008167940.84,7619831122756.637,320413411854.547,8342995915.076
RZ,4.5,0.725,0.104,1.079,0.037,309.511,5217,5468,5760,6885,17892940814148.188,5428224561332.605,5777286446446.189,247358266236.264,6440769731.906
RZ,4.5,0.75,0.104,1.085,0.034,309.531,5205,5457,5754,6885,17918173404201.477,5434620303920.25,5784268779017.063,247648899756.338,6448337312.354
RZ,4.5,0.775,0.104,1.058,0.034,309.558,5171,5423,5719,6889,17939237154049.266,5428726735482.46,5782730124983.353,247369051213.252,6441050553.543
RZ,4.5,0.825,0.104,1.058,0.034,309.554,5131,5369,5685,6893,18170147130244.277,5490949340852.264,5856140449950.074,250203324969.054,6514850006.038
RZ,4.5,0.85,0.104,0.984,0.031,309.565,5167,5366,5640,6886,18224230416512.62,5494535077356.902,5863227962278.197,250306649716.32,6517540398.863
RZ,4.5,0.875,0.106,1.022,0.026,309.538,5135,5325,5609,6889,18655621471011.055,5615946610373.992,5993528920381.657,255833946956.343,6661461397.763
RZ,4.5,0.8,0.104,1.066,0.034,309.509,5212,5437,5723,6886,18103280878073.676,5474973792443.922,5836433692624.846,249477372716.723,6495947499.303
RZ,4.5,0.925,0.057,0.876,0.014,309.548,5163,5359,5718,6966,24026853963996.586,7054418039354.333,7566163425673.499,319269591084.462,8313212854.632
RZ,4.5,0.9,0.062,0.924,0.016,309.543,5239,5446,5804,6967,23333288333355.42,6913390618735.963,7381385394431.567,312867697125.438,8146518911.205
RZ,4.0,0.725,0.104,1.085,0.034,309.531,5205,5457,5754,6885,17918173404201.477,5434620303920.25,5784268779017.063,247648899756.338,6448337312.354
RZ,4.0,0.75,0.104,1.058,0.034,309.558,5171,5423,5719,6889,17939237154049.266,5428726735482.46,5782730124983.353,247369051213.252,6441050553.543
RZ,4.0,0.775,0.104,1.066,0.034,309.509,5212,5437,5723,6886,18103280878073.676,5474973792443.922,5836433692624.846,249477372716.723,6495947499.303
RZ,4.0,0.825,0.104,1.034,0.033,309.541,5220,5422,5697,6882,18135585977736.117,5475910810203.043,5843776940373.731,249497928761.335,6496482742.179
RZ,4.0,0.85,0.104,0.984,0.031,309.56,5167,5355,5640,6886,18219552140120.3,5493393311066.163,5861754845432.045,250255748488.251,6516215021.329
RZ,4.0,0.875,0.062,0.979,0.017,309.546,5254,5458,5813,6971,23317575174442.754,6909179042310.001,7373941966520.83,312649090860.242,8140826792.492
RZ,4.0,0.8,0.104,1.067,0.034,309.531,5201,5437,5724,6886,18126544901100.43,5481616156371.871,5843524203106.33,249774555204.863,6503685603.242
RZ,4.0,0.925,0.054,0.885,0.013,309.549,5141,5364,5738,6970,24290299862243.98,7097825918576.019,7644294399122.897,320988310551.608,8357965255.634
RZ,4.0,0.9,0.057,0.876,0.013,309.538,5240,5451,5803,6968,23291443228202.043,6919010517691.392,7364373734426.802,312992962447.546,8149780597.614
RZ,,,0.061,1.434,0.018,309.557,5222,5401,5754,6992,20331881592960.586,6079809257009.099,6444081010833.705,275263813935.553,7167380609.758
