,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew
192,-62452190574.27501,-24805385.574196294,-12865151.258300653,-13870007.004640738,-2692938.457562738,-434542.3420158055
193,-62158498226.39996,-24688733.910543803,-12804650.634638391,-13804780.871101167,-2680274.443522366,-432498.8306592909
194,-61852681519.803825,-24567266.572850883,-12741652.393079588,-13736862.03873323,-2667087.627133941,-430370.958014795
195,-61507299673.27426,-24430084.357227806,-12670503.732694497,-13660156.184437482,-2652194.761911586,-427967.79112664226
196,-61106179072.85775,-24270763.26594837,-12587872.889008695,-13571071.310290977,-2634898.441621626,-425176.79398894415
197,-60644044404.78603,-24087207.99713697,-12492673.147385923,-13468435.821858931,-2614971.1947343736,-421961.2609685012
198,-60121512109.41527,-23879663.394738656,-12385031.494539546,-13352386.624380037,-2592439.6021579863,-418325.4812573114
199,-59546826934.67255,-23651404.19018259,-12266646.348542543,-13224754.793921426,-2567659.17742308,-414326.8218114515
200,-58933925434.26324,-23407965.843235016,-12140388.639458226,-13088635.499695523,-2541230.8647254305,-410062.25317160354
201,-58295777404.32866,-23154499.8272253,-12008930.145291703,-12946909.203727352,-2513713.9216746516,-405622.01917931874
202,-57644732383.70524,-22895911.255483888,-11874814.87104328,-12802318.615097096,-2485640.86038537,-401092.04792582104
203,-56992519936.11018,-21622392.138560843,-11505649.924701924,-12251682.010665607,-2532747.5859607365,-408693.3604618461
204,-56347092403.2068,-21377523.386852626,-11375351.014359389,-12112934.453917366,-2504064.78639851,-404064.9996233959
205,-55715138313.08177,-21137766.324600093,-11247772.122644948,-11977083.283163188,-2475980.7466333536,-399533.2568431093
206,-55100929677.8962,-20904741.71049704,-11123775.683373684,-11845046.852857346,-2448685.314885707,-395128.7667201936
207,-54509260330.758156,-20680268.276886333,-11004329.475573456,-11717855.69330308,-2422391.529098892,-390885.90583186666
208,-53942945461.1876,-20465414.078519963,-10890001.829704553,-11596114.985791499,-2397224.496295177,-386824.8619021762
209,-53404202831.841774,-20261020.51237245,-10781240.467692217,-11480301.482761025,-2373282.773847048,-382961.53850713733
210,-52895002714.922874,-20067835.08001459,-10678443.14808863,-11370838.733626971,-2350653.9206511728,-379310.0644687119
211,-52416658066.42831,-19886355.903822236,-10581874.930450547,-11268008.984540094,-2329396.284472074,-375879.8549943574
212,-51969867010.76168,-19716847.845212873,-10491676.752132567,-11171962.311303439,-2309540.889958249,-372675.91633417195
213,-51554195786.155266,-19559146.339309447,-10407761.045309024,-11082605.468149798,-2291068.46073674,-369695.1379825194
214,-51168510149.18138,-19412821.065497924,-10329898.828916738,-10999694.626769522,-2273928.5910296207,-366929.38627977966
215,-50810957471.247894,-18722821.60900542,-10571727.811467838,-10870496.241398774,-2302752.5925969547,-371580.5319872358
216,-50479243177.01338,-18600591.52586589,-10502711.335409405,-10799529.285290243,-2287719.3007822465,-369154.70535349887
217,-50170413415.61299,-18486793.93538507,-10438456.215252439,-10733458.246136243,-2273723.135995581,-366896.2333083778
218,-49881518447.52683,-18380341.917544685,-10378348.728192434,-10671652.056663891,-2260630.4160419162,-364783.5444067637
219,-49611179097.33676,-18280727.27378665,-10322101.922991887,-10613815.656084226,-2248378.636691302,-362806.5527388237
220,-49357837192.53176,-18187375.848704103,-10269391.606278159,-10559615.688970245,-2236897.1815655394,-360953.86338898476
221,-49119511592.80844,-18099557.631718054,-10219805.581999725,-10508628.310165437,-2226096.2653860785,-359210.9882782081
222,-48896247496.59323,-18017289.277544674,-10173353.25414119,-10460863.189421156,-2215977.9365456053,-357578.2579425863
223,-48688107757.429146,-17940593.94645749,-10130047.70001071,-10416333.773624392,-2206545.043566689,-356056.1320300794
