,total_inflow
2024-09-01 21:45:00,3.826623924396699e-06
2024-09-01 21:50:00,3.849428594548954e-06
2024-09-01 21:55:00,3.872306479024701e-06
2024-09-01 22:00:00,3.89525712307659e-06
2024-09-01 22:05:00,3.9182809814519715e-06
2024-09-01 22:10:00,3.941377599403495e-06
2024-09-01 22:15:00,3.964547886425862e-06
2024-09-01 22:20:00,3.987790933024371e-06
2024-09-01 22:25:00,4.011107193946373e-06
2024-09-01 22:30:00,4.034497123939218e-06
2024-09-01 22:35:00,4.057960268255556e-06
2024-09-01 22:40:00,4.081497081642738e-06
2024-09-01 22:45:00,4.105107109353412e-06
2024-09-01 22:50:00,4.128791260882281e-06
2024-09-01 22:55:00,4.152549081481993e-06
2024-09-01 23:00:00,4.176380116405198e-06
2024-09-01 23:05:00,4.200285729893949e-06
2024-09-01 23:10:00,4.224264557706192e-06
2024-09-01 23:15:00,4.248317964083981e-06
2024-09-01 23:20:00,4.272445039532613e-06
2024-09-01 23:25:00,4.296646693546791e-06
2024-09-01 23:30:00,4.320922471379163e-06
2024-09-01 23:35:00,4.345272373029729e-06
2024-09-01 23:40:00,4.3696963984984905e-06
2024-09-01 23:45:00,4.394195002532797e-06
2024-09-01 23:50:00,4.418768185132649e-06
2024-09-01 23:55:00,4.443416401045397e-06
2024-09-02 00:00:00,4.4681387407763395e-06
2024-09-02 00:05:00,4.4929356590728275e-06
2024-09-02 00:10:00,4.517808065429563e-06
2024-09-02 00:15:00,4.542754595604492e-06
2024-09-02 00:20:00,4.567776613839669e-06
2024-09-02 00:25:00,4.592873210640391e-06
2024-09-02 00:30:00,4.620862455340102e-06
2024-09-02 00:35:00,4.649079983209958e-06
2024-09-02 00:40:00,4.677391189034097e-06
2024-09-02 00:45:00,4.705796527559869e-06
2024-09-02 00:50:00,4.734295544039924e-06
2024-09-02 00:55:00,4.762889147968963e-06
2024-09-02 01:00:00,4.791576884599635e-06
2024-09-02 01:05:00,4.820359208679292e-06
2024-09-02 01:10:00,4.849236120207934e-06
2024-09-02 01:15:00,4.8782071644382086e-06
2024-09-02 01:20:00,4.907273250864819e-06
2024-09-02 01:25:00,4.936434379487764e-06
2024-09-02 01:30:00,4.9626833060756326e-06
2024-09-02 01:35:00,4.988865839550272e-06
2024-09-02 01:40:00,5.015123861085158e-06
2024-09-02 01:45:00,5.041457370680291e-06
2024-09-02 01:50:00,5.0678672778303735e-06
2024-09-02 01:55:00,5.094353127788054e-06
2024-09-02 02:00:00,5.120914920553332e-06
2024-09-02 02:05:00,5.147552656126209e-06
2024-09-02 02:10:00,5.174266334506683e-06
2024-09-02 02:15:00,5.201056865189457e-06
2024-09-02 02:20:00,5.22792333867983e-06
2024-09-02 02:25:00,5.254866209725151e-06
2024-09-02 02:30:00,5.276960564515321e-06
2024-09-02 02:35:00,5.298871201375732e-06
2024-09-02 02:40:00,5.320832769939443e-06
2024-09-02 02:45:00,5.342843905964401e-06
2024-09-02 02:50:00,5.3649055189453065e-06
2024-09-02 02:55:00,5.38701715413481e-06
2024-09-02 03:00:00,5.409179721027613e-06
2024-09-02 03:05:00,5.431391855381662e-06
